id,name,city,state,lat,lon,source,geocode_status
493,Broken Tooth Brewing Company,Anchorage,AK,61.216313,-149.894852,nominatim:city+state,ok
494,Seven Brides Brewery,Silverton,OR,45.004931,-122.783295,nominatim:city+state,ok
495,Newburyport Brewing Company,Newburyport,MA,42.804531,-70.886652,nominatim:name+city+state,ok
496,Dry Dock Brewing Company,Aurora,CO,39.740511,-104.830994,nominatim:city+state,ok
497,Cans Bar and Canteen,Charlotte,NC,35.227209,-80.843083,nominatim:city+state,ok
498,Sprecher Brewing Company,Glendale,WI,43.125024,-87.928592,nominatim:city+state,ok
499,Wildwood Brewing Company,Stevensville,MT,46.510407,-114.094385,nominatim:city+state,ok
500,High Noon Saloon And Brewery,Leavenworth,KS,39.311326,-94.922759,nominatim:city+state,ok
501,Woodchuck Hard Cider,Middlebury,VT,44.014299,-73.167229,nominatim:city+state,ok
502,Sea Dog Brewing Company,Portland,ME,43.635192,-70.319031,nominatim:name+city+state,ok
503,Oskar Blues Brewery,Lyons,CO,40.224432,-105.270532,nominatim:city+state,ok
504,Carolina Beer & Beverage,Mooresville,NC,35.584860,-80.810072,nominatim:city+state,ok
505,Krebs Brewing Company (Pete's Pl...,Krebs,OK,34.927875,-95.715822,nominatim:city+state,ok
506,Warbird Brewing Company,Fort Wayne,IN,41.079990,-85.138601,nominatim:city+state,ok
507,Mudshark Brewing Company,Lake Havasu City,AZ,34.468581,-114.340935,nominatim:name+city+state,ok
508,Spilker Ales,Cortland,NE,40.505649,-96.707128,nominatim:city+state,ok
509,Wingman Brewers,Tacoma,WA,47.241033,-122.427467,nominatim:name+city+state,ok
510,Kettle House Brewing Company,Missoula,MT,46.870105,-113.995267,nominatim:city+state,ok
511,Sherwood Forest Brewers,Marlborough,MA,42.346859,-71.552519,nominatim:city+state,ok
512,Cottrell Brewing,Pawcatuck,CT,41.377833,-71.837234,nominatim:city+state,ok
513,Arctic Craft Brewery,Colorado Springs,CO,38.833958,-104.825348,nominatim:city+state,ok
514,Monkey Paw Pub & Brewery,San Diego,CA,32.717420,-117.162772,nominatim:city+state,ok
515,Crabtree Brewing Company,Greeley,CO,40.389710,-104.727462,nominatim:name+city+state,ok
516,Emerald City Beer Company,Seattle,WA,47.603832,-122.330062,nominatim:city+state,ok
517,Butcher's Brewing,Carlsbad,CA,33.158093,-117.350597,nominatim:city+state,ok
518,New South Brewing Company,Myrtle Beach,SC,33.695646,-78.890041,nominatim:city+state,ok
519,Big River Brewing Company,Chattanooga,TN,35.045722,-85.309488,nominatim:city+state,ok
520,Twisted Pine Brewing Company,Boulder,CO,40.020513,-105.251172,nominatim:name+city+state,ok
521,Flying Dog Brewery,Frederick,MD,39.362832,-77.426791,nominatim:name+city+state,ok
522,Uncommon Brewers,Santa Cruz,CA,37.050096,-121.990590,nominatim:city+state,ok
523,Aspen Brewing Company,Aspen,CO,39.190265,-106.820341,nominatim:name+city+state,ok
524,Triangle Brewing Company,Durham,NC,35.996653,-78.901805,nominatim:city+state,ok
525,Bomb Beer Company,New York,NY,40.712728,-74.006015,nominatim:city+state,ok
526,Churchkey Can Company,Seattle,WA,47.603832,-122.330062,nominatim:city+state,ok
527,Intuition Ale Works,Jacksonville,FL,30.323487,-81.644845,nominatim:name+city+state,ok
528,Asheville Brewing Company,Asheville,NC,35.622135,-82.553674,nominatim:name+city+state,ok
529,Northwoods Brewpub,Eau Claire,WI,44.811349,-91.498494,nominatim:city+state,ok
530,Buckbean Brewing Company,Reno,NV,39.526179,-119.812658,nominatim:city+state,ok
531,Dolores River Brewery,Dolores,CO,37.473553,-108.504686,nominatim:name+city+state,ok
532,Flat Rock Brewing Company,Smithton,PA,40.153961,-79.741153,nominatim:city+state,ok
533,Abita Brewing Company,Abita Springs,LA,30.478526,-90.037576,nominatim:city+state,ok
534,Mammoth Brewing Company,Mammoth Lakes,CA,37.648773,-118.983500,nominatim:name+city+state,ok
535,Harvest Moon Brewing Company,Belt,MT,47.387633,-110.927528,nominatim:city+state,ok
536,Grand Canyon Brewing Company,Williams,AZ,35.250700,-112.188425,nominatim:city+state,ok
537,Lewis and Clark Brewing Company,Helena,MT,46.592742,-112.036277,nominatim:city+state,ok
538,Dundee Brewing Company,Rochester,NY,43.157285,-77.615214,nominatim:city+state,ok
539,Twin Lakes Brewing Company,Greenville,DE,39.777270,-75.605915,nominatim:city+state,ok
540,Mother Earth Brewing Company,Kinston,NC,35.262664,-77.581635,nominatim:city+state,ok
